D;which;D2;which2;chi;Delta;Delta2;time;eng
4;NN+;4;NN+;16;0.11865698322043845;0.0;57.248382568359375;-147.06989669621248
4;LBP;4;LBP;16;0.11828751392814779;0.0;144.01407432556152;-147.0640312159504
4;NN+LBP;4;NN+LBP;16;0.11828778996565334;0.0;149.9737846851349;-147.06389433381037
6;NN+;6;NN+;24;0.06143721806179297;0.0;162.55313634872437;-146.19410482765727
6;NN+LBP;6;NN+LBP;24;0.060746537527677474;0.0;274.2093539237976;-146.18553603002997
6;LBP;6;LBP;24;0.06074535946135998;0.0;278.0738744735718;-146.18556488083166
8;NN+;8;NN+;32;0.02894966932502647;0.0;1377.5796756744385;-145.7076837246204
8;LBP;8;LBP;32;0.028395555541331635;0.0;1380.965339422226;-145.70152354931784
8;NN+LBP;8;NN+LBP;32;0.02839675889577741;0.0;1478.8537619113922;-145.70173149682623
10;LBP;10;LBP;40;0.014179912624267058;0.0;6263.25914311409;-145.57309818158893
10;NN+LBP;10;NN+LBP;40;0.014180369031161212;0.0;6313.402022600174;-145.57317415948694
10;NN+;10;NN+;40;0.01451731325847269;0.0;6322.071489810944;-145.5741830277616
12;LBP;12;LBP;48;0.007003583597615472;0.0;22873.723939180374;-145.5309633340672
12;NN+;12;NN+;48;0.007234851482305555;0.0;23269.382356643677;-145.53154944293692
12;NN+LBP;12;NN+LBP;48;0.007003887704969025;0.0;23427.156920433044;-145.53086743079237
4;LBP;4;LBP;1;0.11828751392814779;0.0;79.74028515815735;-147.06112727846616
6;LBP;6;LBP;1;0.06074535946135998;0.0;90.39874029159546;-146.18453129093788
8;LBP;8;LBP;1;0.028395555541331635;0.0;95.21160840988159;-145.70127692336396
10;LBP;10;LBP;1;0.014179912624267058;0.0;97.49368786811829;-145.573172161197
12;LBP;12;LBP;1;0.007003583597615472;0.0;101.93408131599426;-145.53099932673948
16;LBP;16;LBP;1;0.0017739620382397321;0.0;120.58179759979248;-145.51633321458684
32;LBP;32;LBP;1;2.425408524205874e-14;0.0;308.5536916255951;-145.51463002890725
